<<<<<<< HEAD
Feature no.,Domain,Industry,Sub-domain,Description,Priority,Mandatory,Open-source providers,Comm. providers
111,Industry-Specific AI Applications,Legal,Contract analysis,"Deploy an AI capability for contract analysis in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Kubeflow, Argo Workflows, LlamaIndex, OpenCV, Seldon","Zendesk, NVIDIA, Pinecone, UiPath, DataRobot"
112,Industry-Specific AI Applications,Legal,E-discovery classification,"Deploy an AI capability for e-discovery classification in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Milvus, Argo Workflows, OpenCV, Seldon, ONNX","Salesforce, Confluent, UiPath, Zendesk, Google Cloud"
113,Industry-Specific AI Applications,Legal,Legal research assistant,"Deploy an AI capability for legal research assistant in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Great Expectations, LangChain, OpenCV, TensorFlow, Airflow","Anthropic, SAP, Scale AI, Zendesk, IBM watsonx"
114,Industry-Specific AI Applications,Legal,Compliance monitoring,"Deploy an AI capability for compliance monitoring in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"OpenTelemetry, Seldon, LangChain, Argo Workflows, PyTorch","DataRobot, ServiceNow, Palantir, Snowflake, Cloudflare"
115,Industry-Specific AI Applications,Legal,Matter forecasting analytics,"Deploy an AI capability for matter forecasting analytics in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"PostgreSQL, Great Expectations, Kubeflow, FAISS, Trino","Salesforce, Anthropic, IBM watsonx, Scale AI, Pinecone"
116,Industry-Specific AI Applications,Legal,Clause library governance,"Deploy an AI capability for clause library governance in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, Ray, TensorFlow, MLflow, Kafka","Zendesk, Cohere, AWS, Databricks, Anthropic"
117,Industry-Specific AI Applications,Legal,Redlining assistance,"Deploy an AI capability for redlining assistance in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Hugging Face Transformers, spaCy, LlamaIndex, PostgreSQL, Prometheus","Scale AI, OpenAI, DataRobot, Cloudflare, Palantir"
118,Industry-Specific AI Applications,Legal,Litigation document summarization,"Deploy an AI capability for litigation document summarization in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"ONNX, Grafana, Kafka, Ray, Great Expectations","Scale AI, NVIDIA, AWS, Databricks, Oracle"
119,Industry-Specific AI Applications,Legal,Privacy impact assessments,"Deploy an AI capability for privacy impact assessments in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Seldon, OpenTelemetry, Hugging Face Transformers, dbt, Feast","Palantir, Databricks, Microsoft Azure, UiPath, Oracle"
120,Industry-Specific AI Applications,Legal,Policy drafting support,"Deploy an AI capability for policy drafting support in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Kubeflow, ONNX, Feast, Rasa, Haystack","NVIDIA, SAP, Google Cloud, UiPath, Palantir"
